Name,Ticker,ESG Rating,ESG Label
EXXON MOBIL CORP,XOM,43.66,Severe
CHEVRON CORP,CVX,37.34,High
CONOCOPHILLIPS,COP,33.14,High
WILLIAMS COS INC,WMB,19.61,Low
EOG RESOURCES INC,EOG,38,High
KINDER MORGAN INC,KMI,21.65,Medium
ONEOK INC,OKE,26.37,Medium
SCHLUMBERGER LTD,SLB,18.48,Low
MARATHON PETROLEUM CORP,MPC,27.06,Medium
PHILLIPS 66,PSX,35.43,High
VALERO ENERGY CORP,VLO,30.89,High
BAKER HUGHES CO,BKR,19.12,Low
HESS CORP,HES,37.37,High
TARGA RESOURCES CORP,TRGP,31.82,High
EQT CORP,EQT,31.69,High
OCCIDENTAL PETROLEUM CORP,OXY,37.83,High
DIAMONDBACK ENERGY INC,FANG,37.31,High
TEXAS PACIFIC LAND CORP,TPL,14.12,Low
EXPAND ENERGY CORP,EXE,36.3,High
DEVON ENERGY CORP,DVN,31.55,High
COTERRA ENERGY INC,CTRA,32.75,High
HALLIBURTON CO,HAL,23.84,Medium
APA CORP,APA,38.35,High
SSI US GOV MONEY MARKET CLASS,-,N/A,N/A
US DOLLAR,-,N/A,N/A
XAE ENERGY        JUN25,IXPM5,N/A,N/A