iShares Global Clean Energy ETF,,
Fund Holdings as of,"May 02, 2025",
Inception Date,"Jun 24, 2008",
Shares Outstanding,"11,15,00,000.00",
Stock,-,
Bond,-,
Cash,-,
Other,-,
 ,,
Ticker,Name,Weight (%)
FSLR,FIRST SOLAR INC,7.3
SSE,SSE PLC,6.31
IBE,IBERDROLA SA,6.26
VWS,VESTAS WIND SYSTEMS,5.46
600900,CHINA YANGTZE POWER LTD A,4.52
EQTL3,EQUATORIAL SA,3.79
EDP,EDP ENERGIAS DE PORTUGAL SA,3.48
NXT,NEXTRACKER INC CLASS A,3.42
ENPH,ENPHASE ENERGY INC,3.41
ELET3,CENTRAIS ELETR BRAS-ELETROBRAS,3.05
SUZLON,SUZLON ENERGY LTD,3.04
9502,CHUBU ELECTRIC POWER INC,2.74
ORSTED,ORSTED,2.73
ORA,ORMAT TECH INC,2.34
BE,BLOOM ENERGY CLASS A CORP,1.85
NHPC,NHPC LTD,1.73
BREN,BARITO RENEWABLES ENERGY,1.51
CMIG4,CIA ENERGETICA DE MINAS GERAIS PRE,1.48
NPI,NORTHLAND POWER INC,1.39
EDPR,EDP RENOVAVEIS SA,1.37
CWEN,CLEARWAY ENERGY INC CLASS C,1.35
ENGI11,ENERGISA UNITS SA,1.33
NDX1,NORDEX,1.21
EGIE3,ENGIE BRASIL ENERGIA SA,1
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,0.99
9830,HANWHA SOLUTIONS CORP,0.97
CPLE6,CIA PARANAENSE DE ENERGIA COPEL PR,0.92
968,XINYI SOLAR HOLDINGS LTD,0.89
VER,VERBUND AG,0.88
300274,SUNGROW POWER SUPPLY LTD A,0.79
BKW,BKW N AG,0.79
600905,CHINA THREE GORGES RENEWABLES(GROU,0.76
INOXWIND,INOX WIND LTD,0.75
BLX,BORALEX INC CLASS A,0.72
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,0.7
CPFE3,CPFL ENERGIA SA,0.7
RUN,SUNRUN INC,0.69
586,CHINA CONCH VENTURE HOLDINGS LTD,0.63
ERG,ERG,0.61
9958,CENTURY IRON AND STEEL INDUSTRIAL,0.61
600025,HUANENG LANCANG RIVER HYDROPOWER I,0.54
600674,SICHUAN CHUANTOU ENERGY LTD A,0.52
1735,CENTRAL NEW ENERGY HOLDING GROUP L,0.52
BRL,BRL CASH,0.51
ENLT,ENLIGHT RENEWABLE ENERGY LTD,0.5
CEN,CONTACT ENERGY LTD,0.49
ENELCHILE,ENEL CHILE SA,0.46
SJVN,SJVN LTD,0.44
SEDG,SOLAREDGE TECHNOLOGIES INC,0.43
JKS,JINKOSOLAR HOLDING ADR REP LTD,0.42
PLUG,PLUG POWER INC,0.41
ARRY,ARRAY TECHNOLOGIES INC,0.41
MEL,MERIDIAN ENERGY LTD,0.41
ENELAM,ENEL AMERICAS SA,0.39
MCY,MERCURY NZ LTD,0.38
112610,CS WIND CORP,0.37
ANE,CORPORACION ACCIONA ENERGIAS RENOV,0.37
SHLS,SHOALS TECHNOLOGIES GROUP INC CLAS,0.36
INE,INNERGEX RENEWABLE ENERGY INC,0.36
REX,REX AMERICAN RESOURCES CORP,0.35
688223,JINKO SOLAR LTD A,0.34
SLR,SOLARIA ENERGIA Y MEDIO AMBIENTE S,0.33
1798,CHINA DATANG CORPORATION RENEWABLE,0.32
EUR,EUR CASH,0.31
2208,XINJIANG GOLDWIND SCIENCE AND TECH,0.3
AURE3,AUREN ENERGIA SA,0.29
PTC,PTC INDIA LTD,0.29
SRNA3,SERENA ENERGIA SA,0.27
336260,DOOSAN FUEL CELL LTD,0.26
CSIQ,CANADIAN SOLAR INC,0.25
RNW,RENEW ENERGY GLOBAL PLC CLASS A,0.24
2459,JA SOLAR TECHNOLOGY LTD A,0.2
688472,CSI SOLAR LTD A,0.2
2129,TCL ZHONGHUAN RENEWABLE ENERGY TEC,0.19
S92,SMA SOLAR TECHNOLOGY AG,0.19
688599,TRINA SOLAR LTD A,0.18
XTSLA,BLK CSH FND TREASURY SL AGENCY,0.18
601615,MING YANG SMART ENERGY GROUP LTD A,0.14
GPRE,GREEN PLAINS INC,0.14
DKK,DKK CASH,0.13
300763,GINLONG TECHNOLOGIES LTD A,0.13
600732,SHANGHAI AIKO SOLAR ENERGY LTD A,0.12
300751,SUZHOU MAXWELL TECHNOLOGIES LTD A,0.12
9519,RENOVA INC,0.11
601016,CECEP WIND-POWER CORP A,0.11
2487,DAJIN HEAVY INDUSTRY LTD A,0.11
591,CECEP SOLAR ENERGY LTD A,0.1
ZOREN.E,ZORLU ENERJI ELEKTRIK URETIMI A,0.09
AKFYE.E,AKFEN YENILENEBILIR ENERJI A.S.,0.09
688349,SANY HEAVY ENERGY LTD A,0.09
537,CHINA GREEN ELECTRICITY INVESTMENT,0.09
600032,ZHEJIANG PROVINCIAL NEW ENERGY INV,0.08
301155,JIANGSU HAILI WIND POWER EQUIPMENT,0.08
2506,GCL SYSTEM INTEGRATION TECHNOLOGY,0.08
688032,HOYMILES POWER ELECTRONICS INC A,0.08
SMRTG.E,SMART GUNES ENERJISI TEKNOLOJILERI,0.07
2531,TITAN WIND ENERGY (SUZHOU) LTD A,0.07
600821,NYOCOR LTD A,0.07
688516,WUXI AUTOWELL TECHNOLOGY LTD A,0.07
688390,JIANGSU GOODWE POWER SUPPLY TECHNO,0.06
300118,RISEN ENERGY LTD A,0.06
JPY,JPY CASH,0.06
2865,HAINAN DRINDA NEW ENERGY TECHNOLOG,0.06
601619,JIAZE RENEWABLES CORP LTD A,0.06
TRY,TRY CASH,0.05
300772,WINDEY ENERGY TECHNOLOGY GROUP LTD,0.05
CHF,CHF CASH,0.04
HBCFT,CASH COLLATERAL USD HBCFT,0.04
HBCFT,CASH COLLATERAL EUR HBCFT,0.02
DIEDT,EDP RENOVAVEIS RIGHTS SA,0.01
CAD,CAD CASH,0.01
GWIND.E,GALATA WIND ENERJI,0.01
TWD,TWD CASH,0.01
KRW,KRW CASH,0.01
CNH,CNH CASH,0
ILS,ILS CASH,0
GBP,GBP CASH,0
CLP,CLP CASH,0
NOK,NOK CASH,0
NZD,NZD CASH,0
HKD,HKD CASH,0
SEK,SEK CASH,0
CNY,CNY CASH,0
IDR,IDR CASH,0
2610,ZHEJIANG AKCOME NEW ENERGY TECHNOL,0
TRY,TRY/USD,0
VGM5,EURO STOXX 50 JUN 25,0
ESM5,S&P500 EMINI JUN 25,0
MESM5,MSCI EMER MKT INDEX (ICE) JUN 25,0
USD,USD CASH,-0.15
 ,,