Fund Name:,The Energy Select Sector SPDR® Fund,,,,,,
Ticker Symbol:,XLE,,,,,,
Holdings:,As of 02-May-2025,,,,,,
,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
EXXON MOBIL CORP,XOM,30231G102,2326618,23.752979,-,59739859.000,USD
CHEVRON CORP,CVX,166764100,2838555,15.150332,-,29220249.000,USD
CONOCOPHILLIPS,COP,20825C104,2685717,7.633436,-,22306832.000,USD
WILLIAMS COS INC,WMB,969457100,2967181,5.088900,-,22656048.000,USD
EOG RESOURCES INC,EOG,26875P101,2318024,4.259784,-,10264180.000,USD
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,3.907094,-,38899558.000,USD
ONEOK INC,OKE,682680103,2130109,3.820866,-,12484916.000,USD
SCHLUMBERGER LTD,SLB,806857108,2779201,3.664996,-,28189034.000,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,3.369556,-,6358787.000,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,3.333544,-,8310468.000,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,2.836362,-,6370621.000,USD
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,2.767168,-,19923847.000,USD
HESS CORP,HES,42809H107,2023748,2.754815,-,5561747.000,USD
TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,2.659075,-,4388092.000,USD
EQT CORP,EQT,26884L109,2319414,2.330612,-,12006950.000,USD
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,2.066827,-,13595108.000,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,1.925918,-,3760377.000,USD
TEXAS PACIFIC LAND CORP,TPL,88262P102,BM99VY2,1.910786,-,379099.000,USD
EXPAND ENERGY CORP,EXE,165167735,BMZ5LZ5,1.677361,-,4231790.000,USD
DEVON ENERGY CORP,DVN,25179M103,2480677,1.555810,-,13218605.000,USD
COTERRA ENERGY INC,CTRA,127097103,2162340,1.424111,-,14819361.000,USD
HALLIBURTON CO,HAL,406216101,2405302,1.347130,-,17468434.000,USD
APA CORP,APA,03743Q108,BNNF1C1,0.458719,-,7444384.000,USD
SSI US GOV MONEY MARKET CLASS,-,924QSGII3,-,0.175638,-,46916914.960,USD
US DOLLAR,-,999USDZ92,-,0.051136,-,13659612.580,USD
XAE ENERGY        JUN25,IXPM5,ADI2SVW62,-,-0.024100,-,78700.000,USD